# w1 w2 "Data Height"
 113.81 4.657 23633.32
 137.92 4.657 22695.86
 32.46 4.657 22449.69
 115.96 4.657 17527.08
 30.94 4.66 41285.99
 52.13 4.66 29407.62
 5.43 4.66 21019.89
 58.61 4.66 21013.07
 73.45 4.66 19675.83
 75.23 4.66 18955.82
 16.09 4.66 17775.94
 112.41 4.663 28721.82
 68 4.663 27580.79
 134.11 4.663 24712.44
 34.75 4.663 23229.38
 128.02 4.663 20710.32
 56.83 4.663 18385.98
 22.31 4.663 17429.17
 24.72 4.666 51976.94
 70.41 4.666 49360.87
 65.97 4.666 25114.65
 89.06 4.666 20083.68
 92.74 4.666 19886.49
 83.22 4.67 46915.72
 115.84 4.67 40872.17
 113.81 4.67 39112.59
 14.7 4.67 34163.59
 117.36 4.67 33220.31
 28.53 4.67 31221.7
 138.05 4.67 29182.45
 72.06 4.67 28369.47
 12.16 4.67 27637.22
 123.83 4.67 22263.96
 27.01 4.67 22144.61
 103.27 4.67 21193.66
 50.86 4.67 19092.69
 5.31 4.67 17851.92
 100.36 4.673 41687.31
 64.57 4.673 34255.03
 139.19 4.673 23089.76
 33.35 4.673 20835.82
 102.01 4.673 19276.87
 86.4 4.673 18243.08
 8.73 4.673 18023.24
 34.75 4.676 36606.23
 23.2 4.676 34427.86
 135.25 4.676 33232.29
 6.58 4.676 24706.36
 19.01 4.676 24693.13
 84.75 4.676 19882.6
 46.17 4.679 28605.4
 3.53 4.679 25344.44
 42.49 4.679 24067
 2.01 4.679 21359.3
 12.29 4.683 47702.32
 66.6 4.683 44278.88
 28.66 4.683 32308.8
 106.95 4.683 31328.14
 7.46 4.683 28236.16
 112.41 4.683 25956.32
 89.06 4.683 23905.7
 136.4 4.683 23389.77
 75.36 4.683 23029.65
 123.71 4.683 22573.04
 81.83 4.683 21602.65
 83.22 4.683 21103.7
 139.19 4.686 53394.74
 0.99 4.686 51119.98
 14.57 4.686 48649.53
 103.15 4.686 37896.43
 108.86 4.686 37332.74
 113.81 4.686 34392.55
 117.36 4.686 33113.95
 73.58 4.686 31922.53
 115.96 4.686 31407.29
 65.71 4.686 29435.56
 72.18 4.686 28886.99
 5.31 4.686 28042.17
 38.17 4.686 27940.91
 16.09 4.686 25404.74
 27.13 4.686 24669.88
 100.48 4.686 24476.17
 137.92 4.686 22488.73
 30.31 4.686 21865.09
 70.91 4.686 20759.04
 86.52 4.689 52683.2
 8.99 4.689 22333.34
 119.64 4.689 21578.52
 22.31 4.689 18463.54
 51.12 4.693 34863.97
 34.75 4.693 32611.26
 22.95 4.693 29394.26
 135.25 4.693 28656.4
 76.75 4.693 28421.39
 95.41 4.693 27968.66
 57.46 4.693 24507.35
 125.36 4.693 19882.44
 68 4.693 19835.23
 53.02 4.693 18469.35
 46.17 4.696 33463.73
 103.15 4.699 66921.98
 38.3 4.699 57741.55
 137.92 4.699 56802.88
 86.78 4.699 55408.71
 139.19 4.699 53805
 30.31 4.699 51854.49
 108.86 4.699 49448.96
 66.6 4.699 43457.76
 72.18 4.699 41975.6
 28.66 4.699 40575.19
 27.01 4.699 39957.92
 23.2 4.699 37841.22
 115.96 4.699 36954.97
 117.23 4.699 36325.27
 5.31 4.699 34496.38
 123.83 4.699 33872.94
 105.05 4.699 33147.67
 106.95 4.699 32290.48
 118.12 4.699 32089.04
 83.1 4.699 30134.09
 48.71 4.699 27926.78
 57.21 4.699 27566.17
 24.85 4.699 27177.06
 81.7 4.699 21922.53
 58.86 4.699 19915.12
 119.77 4.699 19008.59
 70.15 4.699 18899.73
 113.93 4.699 18210.94
 128.02 4.702 61909.34
 112.54 4.702 49618.04
 42.49 4.702 48819.26
 31.07 4.702 47861.08
 64.57 4.702 38376.82
 19.01 4.702 34362.55
 49.85 4.702 28330.82
 34.75 4.706 47714.8
 9.24 4.706 40973.35
 53.15 4.706 37061.92
 125.48 4.706 32360.98
 120.15 4.706 23398.11
 55.69 4.706 20585.98
 90.58 4.706 17750.14
 135.13 4.706 17609.51
 32.59 4.709 50988.63
 0.99 4.709 34366.71
 52.13 4.709 32036.28
 17.36 4.709 21123.4
 100.48 4.709 17943.32
 130.3 4.712 71362.01
 5.43 4.712 69484.1
 38.3 4.712 59750.07
 138.05 4.712 59082.5
 83.1 4.712 57543.8
 30.43 4.712 53929.75
 106.83 4.712 52007.99
 6.7 4.712 41374.96
 48.83 4.712 39392.17
 123.83 4.712 38266.59
 118.12 4.712 32109.44
 116.09 4.712 28723.86
 27.13 4.712 27516.56
 92.61 4.712 25458.63
 64.44 4.712 21535.86
 44.77 4.712 20062.44
 19.77 4.712 19762.72
 12.16 4.715 108886.12
 14.57 4.715 90681.89
 108.98 4.715 77608.53
 136.27 4.715 76905.79
 139.31 4.715 72525.33
 65.58 4.715 71880.66
 70.28 4.715 49354.83
 74.98 4.715 46658.96
 23.33 4.715 45666.98
 81.83 4.715 42227.77
 103.27 4.715 41011.24
 86.9 4.715 39043.48
 90.84 4.715 37982.55
 66.73 4.715 36529.41
 117.23 4.715 36360.9
 105.18 4.715 35042.17
 80.69 4.715 30520.94
 9.75 4.715 29031.28
 50.1 4.715 27702.84
 78.02 4.715 27292.8
 28.66 4.715 26954.99
 24.98 4.715 25836.32
 68 4.715 24822.81
 50.99 4.715 22433.61
 52.51 4.719 65418.6
 7.72 4.719 58357.86
 131.45 4.719 43695.42
 46.04 4.719 25776.47
 31.19 4.719 23132.95
 2.01 4.719 22102.12
 112.54 4.719 19828.12
 120.53 4.719 18281.6
 34.87 4.722 71393.38
 25.36 4.722 47634.21
 0.99 4.722 44560.92
 128.15 4.722 37874.38
 135 4.722 28887.88
 17.62 4.722 20956.4
 21.04 4.722 18737.99
 113.93 4.725 115397.35
 70.41 4.725 99691.97
 19.14 4.725 93937.68
 118.12 4.725 67692.73
 132.97 4.725 57724.56
 50.99 4.725 45644.31
 43.12 4.725 28400.98
 97.69 4.725 28301.32
 14.57 4.729 153528.34
 103.4 4.729 132255.73
 15.97 4.729 132126.68
 100.36 4.729 125174.33
 52.64 4.729 124574.36
 78.15 4.729 120696.27
 30.43 4.729 110313.92
 38.3 4.729 108242.69
 12.29 4.729 104195.24
 82.97 4.729 102798.25
 86.9 4.729 99649.13
 22.57 4.729 93873.93
 73.58 4.729 91615.51
 117.11 4.729 90037.54
 28.66 4.729 89578.4
 139.31 4.729 82417.35
 108.98 4.729 75301.76
 107.08 4.729 73220.13
 81.96 4.729 64149
 48.83 4.729 58587.09
 115.96 4.729 53105.15
 44.77 4.729 44426.64
 138.17 4.729 39009.81
 27.13 4.729 36909.82
 64.44 4.729 31811.93
 63.17 4.729 25117.63
 50.1 4.729 19491.45
 72.44 4.732 178781.02
 5.31 4.732 167076.42
 66.73 4.732 104438.27
 89.19 4.732 98965.07
 105.18 4.732 83007.56
 25.61 4.732 71963.06
 71.04 4.732 42057.75
 45.92 4.732 40324.36
 55.94 4.732 39573.68
 114.44 4.732 26693.13
 136.52 4.735 187360.95
 52.89 4.735 153090.39
 101.88 4.735 137104.98
 19.65 4.735 107904.81
 135.13 4.735 98034.81
 118.25 4.735 95440.2
 67.87 4.735 93647.52
 92.74 4.735 92169.75
 34.87 4.735 86450.19
 70.79 4.735 83891.56
 33.23 4.735 74357.68
 0.99 4.735 67657.05
 84.49 4.735 61179.55
 86.52 4.735 48699.25
 17.11 4.735 48304.38
 119.77 4.735 39882.66
 95.15 4.735 31113.26
 7.72 4.735 26969.3
 58.48 4.735 26121.47
 57.21 4.735 22459.24
 106.7 4.735 21743.1
 5.31 4.738 177681.08
 6.58 4.738 136738.91
 73.83 4.738 44180.22
 76.75 4.738 42113.93
 59.37 4.738 37918.85
 90.84 4.738 37431.7
 58.86 4.738 20429.75
 38.3 4.742 266624.31
 87.16 4.742 231900.13
 82.97 4.742 184971.89
 79.16 4.742 181018.2
 75.1 4.742 176847.53
 120.91 4.742 152129.05
 112.41 4.742 100465.91
 30.18 4.742 99233.19
 130.68 4.742 81039.84
 44.9 4.742 62802.49
 70.79 4.742 58860.06
 39.7 4.742 57246.46
 78.15 4.742 49767.63
 113.81 4.742 48862.92
 8.61 4.742 41687.02
 114.44 4.742 39596.08
 70.41 4.742 34939.96
 50.86 4.742 33859.67
 28.66 4.745 328933.84
 123.58 4.745 288836.02
 12.29 4.745 272871.44
