#       w          Data Heig
                
   75.112 3.2402       79380
   74.981 2.2602       37497
   74.873 4.0552      103696
    74.82 3.7762      166613
   74.863 3.6372      125709
   74.724 3.5612      111256
   74.508 3.9202       34482
   74.388 3.4932       93813
   74.411 3.2402       68368
   74.144 4.4212       41852
   74.303 4.1332       40288
   74.075 3.8142     3532175
   74.081 3.7652      254710
   74.088 3.7462      134506
   74.256 3.7012      427123
   74.174 3.5302     4297481
   74.107 3.4032      195545
   74.133 2.2482       38947
   73.922 3.9392       67944
   73.998 3.4662       42625
   73.703 3.2412       60222
   73.343 3.9222      190285
   73.286 3.9092      142506
   73.297 3.8662       34049
   73.446 3.7372       34453
   73.421 3.3952      159967
   73.041 3.8072      118805
    73.04 3.7002       54444
   73.084 3.6882       54411
   73.095 3.5332      149094
   72.918 4.1642       59681
   72.922 4.1322       73478
   72.848 3.6542       46971
    72.82 3.6302       42643
   72.512 3.8982      703182
    72.63 3.6142       36802
   72.443 3.3422      367134
   72.543 3.2992       33541
   72.567 3.2832       33704
   72.479 3.2712       36700
    72.27 4.1042       53291
   72.315 3.8792      221460
   72.305 3.8172      427637
   72.347 3.7572       82591
   72.334 3.7052      288710
   72.311 3.6972      302541
    72.41 3.5382       74739
   72.282 3.4852      526729
   72.292 3.4562     1005525
   72.309 3.3972     7736095
   72.381 3.3572      261877
   72.415 3.2512       37326
    72.33 3.2412       50040
   72.295 2.7832       35786
    72.29 2.1552       36781
   72.129 3.9272      163210
   72.123 3.7832       39651
   72.127 3.5792      188569
   71.701 4.0312      170134
   71.834 3.9922      383997
   71.766 3.5372       36159
   71.563 3.9712      195976
   71.517 3.9612      174880
    71.44 3.2612      137194
   71.182 4.1052     3303629
   71.224 3.4012      242838
   71.193 2.2462       53629
   71.178 1.3142      386214
   70.666 3.8692      398767
   70.595 3.4022      118801
   70.735 3.3682     1065086
   70.666 1.1252       54454
   70.274 3.7872      111374
   70.382 2.2512       44301
   70.081 4.1072      106141
   70.172 3.3862      636254
   69.737 3.4062       88359
   69.553 3.6522       60004
   69.351 3.5292      282351
   69.335 3.4282      260586
   68.983 2.2462       32892
   68.778 4.2402      253078
   68.777 3.8872      120889
   68.565 3.6552       75328
   68.531 3.6292      119789
   68.418 3.4052       52534
   68.395 4.1342       26858
   68.071 4.0702       89675
    68.18 2.2462       62503
   67.715 2.2442       33915
   66.847 2.2462       47839
   66.542 3.7072       92010
   66.508 3.6952       95066
     66.6 3.5532       87129
   66.595 3.5442       68951
   66.047 4.0132       83990
   66.083 3.9962       98689
   65.994 3.7012      111965
   65.922 3.6852       97523
   65.397 3.5792      127267
   65.316 3.5522      135717
    65.33 2.2492       42172
   65.153 3.8202      144357
    65.22 3.7062       36594
   65.298 3.6482      199185
   64.399 3.8302       39234
   64.407 3.8192       47942
    64.39 3.7562       38682
   64.363 3.6372       56874
    64.36 2.2522       39467
     64.1 3.9342       32543
   63.929 4.1192      341937
   63.925 2.2432       47888
   63.443 3.8892     3564751
   63.447 3.8772     4286674
   63.446 3.7142     3703702
   63.487 3.5472       57891
   63.497 3.5352       48528
    63.47 3.4532      145565
   63.404 3.4042       34131
   63.544 3.3402       34974
   63.443 3.2752       66079
    63.27 3.8202     3077433
    63.28 3.7582     2552052
   63.177 3.5992      780404
   63.227 3.5722      466617
   62.988 3.9632       88585
   62.992 3.9402       77558
   62.995 2.2532       43822
   62.397 3.8902      173254
   62.405 3.8772      217019
   62.387 3.7122      160864
   62.338 3.6582      228470
   62.058 4.4472       39768
    62.12 4.2972       83102
   62.081 4.2602      102803
   62.265 3.8202      116216
   62.208 3.7592       94894
   62.129 3.5992       41933
   62.172 3.2472       43070
   61.655 3.8902       79291
   61.652 3.8792       82800
   61.562 3.8212       50321
   61.545 3.7592       39148
   61.635 3.7122       76471
   61.605 2.2532       42770
   61.026 4.1632      178267
   61.038 3.8902       40358
   60.986 3.8782       49250
   61.024 3.7112       44463
   61.109 2.2442       34731
   60.798 3.8202       44395
   60.276 3.8772       49348
   59.097 4.0422      222345
   58.837 4.4132       33850
   57.836 4.0412      155986
   57.509 4.4362       33888
   56.165 4.0512      134592
   55.972 4.4272       42033
   55.955 4.3582       38587
   55.787 4.3242       32749
   138.21 8.0172      285573
   133.47 7.1682       65598
  132.989 5.7932       35830
  131.841 7.4102       45871
  132.031 7.3112       58905
  129.749 5.9432       35443
  129.776 5.8382       32525
  129.855 5.5382       34895
  127.949 7.3092       49510
  124.807 7.2172       87576
  123.761 7.8322       32180
  123.773 7.2172     1260286
  121.176 7.7132       41769
  119.706 7.0452       67205
  118.646 6.8792      105956
  114.695 7.5252       57633
  113.337 5.9312       32178
  112.233 5.8112       33116
  110.902 5.6422       33131
   95.286 5.5312       35699
   94.801 6.4692       42290
   94.749 5.8372       78342
   93.369 5.5002       32578
   93.089 5.5812       39684
    92.73 5.5602       53476
   92.725 5.4812       39424
   92.016 5.9052       38896
   91.704 5.5012       35025
